AMR surveillance system,AMR laboratory network and coordination capacity,Antimicrobial control and optimization,Improve awareness and understanding ,Antimicrobial resistance rate for important antibiotics
35.56,48.5,56.03,65.62,24.45
54.6,59.66,34.61,43.75,22.19
61.83,70.32,78.57,65.62,33.9
22.66,50.07,31.04,53.12,17.63
29.65,41.65,40.04,50,34.49
44.63,53.54,32.16,40.62,18.69
33.91,54.06,58.65,50,13.96
48.93,64.28,53.65,78.12,12.48
20.13,20.38,60.68,56.25,21.89
34.68,12.07,43.98,15.62,19.72
41,51.87,47.95,59.38,11.79
21.56,20.38,12.3,37.5,12.19
33.89,53.17,53.91,62.5,22.28
17.5,13.8,19.22,25,23.42
3.5,20.47,20.49,28.12,30.72
56.93,60.33,60.39,59.38,34.59
34.36,64.72,49.41,59.38,28.98
71.92,36.62,41.44,34.38,18.03
58.26,51.03,58.22,46.88,38.97
23.79,32.11,40.16,34.38,23.02
36.72,39.67,37.88,53.12,12.82
21.95,21.36,35.23,40.62,17.47
65.14,71.39,69.68,90.62,30.34
40.34,49.29,32.56,53.12,21.58
24.59,44.2,44.61,53.12,15.25
93.98,69.35,80.06,87.5,44.03
87.39,66.86,55.38,65.62,43.38
33.06,30.69,47.63,50,22.44
30.41,58.77,16.06,43.75,22.45
78.97,64.74,50.26,81.25,29.73
27.92,14.34,22.5,37.5,22.74
14.19,13.18,28.51,31.25,24.31
30.94,37.74,52.51,40.62,27.46
31.24,29.03,34.62,46.88,22.88
52.36,38.5,48.55,59.38,19.56
11.86,51.66,23.69,34.38,23.12
19.36,40.99,22.76,25,17.99
39.28,40.17,48.15,50,23.29
20.6,47.57,26.83,40.62,18.31
30.36,43.69,38.12,46.88,3.52
91,63.83,73.76,71.88,43.25
8.66,31.58,42.07,37.5,17.05
58.76,48.07,65.55,96.88,40.84
47.09,33.54,27.49,56.25,20.22
29.13,35.27,49.68,65.62,25.72
21.31,37.43,38.44,53.12,20
26.66,30,15.53,31.25,21.23
40.17,39.67,37.33,40.62,21.66
36.6,45.8,25.22,40.62,37.93
